Metric,Value
server-response-time,32.293
first-contentful-paint,755.6980000000001
largest-contentful-paint,1734.1225
speed-index,1005.3338101005211
total-blocking-time,222.15100000000007
cumulative-layout-shift,0
interactive,1400.698
transfer-size,143364
resource-size,143030
server-response-time,24.128
first-contentful-paint,764.2059999999999
largest-contentful-paint,1747.7574999999997
speed-index,1066.0400182545068
total-blocking-time,240.39699999999993
cumulative-layout-shift,0
interactive,1781.2574999999997
transfer-size,143364
resource-size,143030
server-response-time,28.311
first-contentful-paint,754.1500000000001
largest-contentful-paint,1773.2250000000001
speed-index,1473.275536150351
total-blocking-time,587.925
cumulative-layout-shift,0
interactive,1869.2250000000001
transfer-size,143364
resource-size,143030
server-response-time,24.929000000000002
first-contentful-paint,757.568
largest-contentful-paint,1737.46
speed-index,1076.9447713075156
total-blocking-time,248.21600000000012
cumulative-layout-shift,0
interactive,1417.0680000000002
transfer-size,143364
resource-size,143030
server-response-time,25.745000000000005
first-contentful-paint,756.5519999999999
largest-contentful-paint,1739.19
speed-index,1094.5280662382183
total-blocking-time,284.22399999999993
cumulative-layout-shift,0
interactive,1771.69
transfer-size,143364
resource-size,143030
server-response-time,34.279
first-contentful-paint,763.2860000000001
largest-contentful-paint,1747.6075
speed-index,1157.5866793261084
total-blocking-time,299.85699999999997
cumulative-layout-shift,0
interactive,1785.1075
transfer-size,143364
resource-size,143030
server-response-time,25.64
first-contentful-paint,757.942
largest-contentful-paint,1739.9275
speed-index,1091.3986236405076
total-blocking-time,262.029
cumulative-layout-shift,0
interactive,1427.442
transfer-size,143364
resource-size,143030
server-response-time,30.550000000000004
first-contentful-paint,760.9079999999999
largest-contentful-paint,1737.635
speed-index,1031.56956026718
total-blocking-time,228.54600000000005
cumulative-layout-shift,0
interactive,1411.408
transfer-size,143364
resource-size,143030
server-response-time,24.012999999999998
first-contentful-paint,768.94
largest-contentful-paint,1744.6750000000002
speed-index,992.690583140627
total-blocking-time,154.02999999999997
cumulative-layout-shift,0
interactive,1381.44
transfer-size,143364
resource-size,143030
server-response-time,33.596000000000004
first-contentful-paint,753.98
largest-contentful-paint,1727.975
speed-index,1008.0231400052876
total-blocking-time,226.01
cumulative-layout-shift,0
interactive,1399.48
transfer-size,143364
resource-size,143030
server-response-time,23.973
first-contentful-paint,759.8599999999999
largest-contentful-paint,1735.3249999999998
speed-index,1050.9591236798888
total-blocking-time,210.56999999999994
cumulative-layout-shift,0
interactive,1398.36
transfer-size,143364
resource-size,143030
server-response-time,24.525
first-contentful-paint,754.2760000000001
largest-contentful-paint,1726.3450000000003
speed-index,1001.4582521114478
total-blocking-time,182.36199999999997
cumulative-layout-shift,0
interactive,1378.276
transfer-size,143364
resource-size,143030
server-response-time,26.275999999999996
first-contentful-paint,757.338
largest-contentful-paint,1733.1725
speed-index,1242.4779426889656
total-blocking-time,236.83099999999996
cumulative-layout-shift,0
interactive,1409.838
transfer-size,143364
resource-size,143030
server-response-time,30.269999999999996
first-contentful-paint,781.364
largest-contentful-paint,1808.205
speed-index,1474.6556455215318
total-blocking-time,547.318
cumulative-layout-shift,0
interactive,1920.205
transfer-size,143364
resource-size,143030
server-response-time,48.637
first-contentful-paint,757.8800000000001
largest-contentful-paint,1739.8500000000001
speed-index,1174.2750430457288
total-blocking-time,290.05999999999995
cumulative-layout-shift,0
interactive,1774.8500000000001
transfer-size,143364
resource-size,143030
server-response-time,25.476999999999997
first-contentful-paint,786.7660000000001
largest-contentful-paint,1777.9575
speed-index,1099.3876994890902
total-blocking-time,268.61699999999996
cumulative-layout-shift,0
interactive,1811.9575
transfer-size,143364
resource-size,143030
server-response-time,25.823000000000008
first-contentful-paint,765.104
largest-contentful-paint,1747.88
speed-index,1074.830348016142
total-blocking-time,242.4480000000001
cumulative-layout-shift,0
interactive,1424.6040000000003
transfer-size,143364
resource-size,143030
server-response-time,25.230000000000004
first-contentful-paint,751.396
largest-contentful-paint,1724.745
speed-index,998.8295954441281
total-blocking-time,224.80200000000002
cumulative-layout-shift,0
interactive,1396.896
transfer-size,143364
resource-size,143030
server-response-time,23.642999999999994
first-contentful-paint,759.844
largest-contentful-paint,1741.305
speed-index,1079.717958152508
total-blocking-time,272.078
cumulative-layout-shift,0
interactive,1433.344
transfer-size,143364
resource-size,143030
server-response-time,27.531
first-contentful-paint,760.47
largest-contentful-paint,1741.0875
speed-index,1187.2979692823658
total-blocking-time,299.2650000000001
cumulative-layout-shift,0
interactive,1785.0875
transfer-size,143364
resource-size,143030
server-response-time,25.091
first-contentful-paint,752.0540000000001
largest-contentful-paint,1731.5675
speed-index,1451.5469036005088
total-blocking-time,544.473
cumulative-layout-shift,0
interactive,1585.054
transfer-size,143364
resource-size,143030
server-response-time,23.344
first-contentful-paint,760.5540000000001
largest-contentful-paint,1752.1925
speed-index,1214.909127104037
total-blocking-time,289.22299999999996
cumulative-layout-shift,0
interactive,1783.6925
transfer-size,143364
resource-size,143030
server-response-time,33.231
first-contentful-paint,753.674
largest-contentful-paint,1733.5925
speed-index,1053.0656257150913
total-blocking-time,232.163
cumulative-layout-shift,0
interactive,1404.674
transfer-size,143364
resource-size,143030
server-response-time,25.029000000000003
first-contentful-paint,760.5640000000001
largest-contentful-paint,1743.205
speed-index,878.2801203065945
total-blocking-time,127.21800000000007
cumulative-layout-shift,0
interactive,1770.7050000000002
transfer-size,143364
resource-size,143030
server-response-time,23.248999999999995
